id,normalizada,original,solo_frente_espalda,sin_logo,sin_marco,sin_cabecera_pie,sin_cortes,sin_deformacion,lienzo_ok,clasificacion,observacion
AIM-P208-013.jpg,images_normalized\AIM-P208-013.jpg,images_final\AIM-P208-013.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P221-003.jpg,images_normalized\AIM-P221-003.jpg,images_final\AIM-P221-003.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P044-036.jpg,images_normalized\AIM-P044-036.jpg,images_final\AIM-P044-036.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P191-039.jpg,images_normalized\AIM-P191-039.jpg,images_final\AIM-P191-039.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P116-025.jpg,images_normalized\AIM-P116-025.jpg,images_final\AIM-P116-025.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P093-055.jpg,images_normalized\AIM-P093-055.jpg,images_final\AIM-P093-055.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P076-053.jpg,images_normalized\AIM-P076-053.jpg,images_final\AIM-P076-053.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P043-028.jpg,images_normalized\AIM-P043-028.jpg,images_final\AIM-P043-028.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P059-048.jpg,images_normalized\AIM-P059-048.jpg,images_final\AIM-P059-048.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P209-030.jpg,images_normalized\AIM-P209-030.jpg,images_final\AIM-P209-030.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P092-055.jpg,images_normalized\AIM-P092-055.jpg,images_final\AIM-P092-055.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P028-055.jpg,images_normalized\AIM-P028-055.jpg,images_final\AIM-P028-055.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P026-020.jpg,images_normalized\AIM-P026-020.jpg,images_final\AIM-P026-020.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P104-045.jpg,images_normalized\AIM-P104-045.jpg,images_final\AIM-P104-045.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P027-025.jpg,images_normalized\AIM-P027-025.jpg,images_final\AIM-P027-025.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P099-002.jpg,images_normalized\AIM-P099-002.jpg,images_final\AIM-P099-002.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P232-026.jpg,images_normalized\AIM-P232-026.jpg,images_final\AIM-P232-026.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P094-056.jpg,images_normalized\AIM-P094-056.jpg,images_final\AIM-P094-056.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P165-052.jpg,images_normalized\AIM-P165-052.jpg,images_final\AIM-P165-052.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P073-014.jpg,images_normalized\AIM-P073-014.jpg,images_final\AIM-P073-014.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P221-024.jpg,images_normalized\AIM-P221-024.jpg,images_final\AIM-P221-024.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P012-052.jpg,images_normalized\AIM-P012-052.jpg,images_final\AIM-P012-052.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P200-016.jpg,images_normalized\AIM-P200-016.jpg,images_final\AIM-P200-016.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P126-028.jpg,images_normalized\AIM-P126-028.jpg,images_final\AIM-P126-028.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P147-026.jpg,images_normalized\AIM-P147-026.jpg,images_final\AIM-P147-026.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P035-006.jpg,images_normalized\AIM-P035-006.jpg,images_final\AIM-P035-006.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P252-051.jpg,images_normalized\AIM-P252-051.jpg,images_final\AIM-P252-051.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P104-022.jpg,images_normalized\AIM-P104-022.jpg,images_final\AIM-P104-022.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P022-032.jpg,images_normalized\AIM-P022-032.jpg,images_final\AIM-P022-032.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P151-045.jpg,images_normalized\AIM-P151-045.jpg,images_final\AIM-P151-045.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P081-004.jpg,images_normalized\AIM-P081-004.jpg,images_final\AIM-P081-004.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P227-029.jpg,images_normalized\AIM-P227-029.jpg,images_final\AIM-P227-029.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P172-040.jpg,images_normalized\AIM-P172-040.jpg,images_final\AIM-P172-040.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P169-054.jpg,images_normalized\AIM-P169-054.jpg,images_final\AIM-P169-054.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P242-048.jpg,images_normalized\AIM-P242-048.jpg,images_final\AIM-P242-048.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P236-019.jpg,images_normalized\AIM-P236-019.jpg,images_final\AIM-P236-019.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P099-046.jpg,images_normalized\AIM-P099-046.jpg,images_final\AIM-P099-046.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P158-040.jpg,images_normalized\AIM-P158-040.jpg,images_final\AIM-P158-040.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P053-031.jpg,images_normalized\AIM-P053-031.jpg,images_final\AIM-P053-031.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P193-024.jpg,images_normalized\AIM-P193-024.jpg,images_final\AIM-P193-024.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P019-060.jpg,images_normalized\AIM-P019-060.jpg,images_final\AIM-P019-060.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P013-031.jpg,images_normalized\AIM-P013-031.jpg,images_final\AIM-P013-031.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P181-035.jpg,images_normalized\AIM-P181-035.jpg,images_final\AIM-P181-035.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P063-014.jpg,images_normalized\AIM-P063-014.jpg,images_final\AIM-P063-014.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P212-006.jpg,images_normalized\AIM-P212-006.jpg,images_final\AIM-P212-006.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P080-002.jpg,images_normalized\AIM-P080-002.jpg,images_final\AIM-P080-002.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P022-048.jpg,images_normalized\AIM-P022-048.jpg,images_final\AIM-P022-048.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P234-034.jpg,images_normalized\AIM-P234-034.jpg,images_final\AIM-P234-034.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P064-035.jpg,images_normalized\AIM-P064-035.jpg,images_final\AIM-P064-035.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P237-037.jpg,images_normalized\AIM-P237-037.jpg,images_final\AIM-P237-037.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P028-035.jpg,images_normalized\AIM-P028-035.jpg,images_final\AIM-P028-035.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
