id,w,h,n_bandas,cabecera_y,principal_y,pie_y,marco_izq_der_sup_inf,logo,frente_x,espalda_x,recorte_frac,formato
AIM-P006-030.jpg,700,560,3,0.027-0.170,0.211-0.838,0.868-0.966,0/0/0/0,si,0.167-0.570,0.573-0.973,0.493,"(3, 1, 1, 1, 0)"
AIM-P006-031.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.570,0.573-0.979,0.490,"(3, 1, 1, 1, 0)"
AIM-P006-032.jpg,700,560,3,0.027-0.170,0.211-0.839,0.870-0.968,0/0/0/0,si,0.169-0.567,0.570-0.977,0.489,"(3, 1, 1, 1, 0)"
AIM-P006-033.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.564,0.567-0.979,0.489,"(3, 1, 1, 1, 0)"
AIM-P006-034.jpg,700,560,3,0.027-0.170,0.209-0.838,0.870-0.968,0/0/0/0,si,0.169-0.569,0.571-0.973,0.492,"(3, 1, 1, 1, 0)"
AIM-P006-035.jpg,700,560,3,0.027-0.171,0.209-0.839,0.868-0.970,0/0/0/0,si,0.169-0.569,0.571-0.974,0.490,"(3, 1, 1, 1, 0)"
AIM-P006-036.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.566,0.569-0.973,0.494,"(3, 1, 1, 1, 0)"
AIM-P006-037.jpg,700,560,3,0.027-0.170,0.209-0.838,0.870-0.968,0/0/0/0,si,0.169-0.566,0.569-0.973,0.492,"(3, 1, 1, 1, 0)"
AIM-P006-038.jpg,700,560,3,0.029-0.171,0.211-0.839,0.871-0.970,0/0/0/0,si,0.169-0.570,0.573-0.974,0.491,"(3, 1, 1, 1, 0)"
AIM-P006-039.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.564,0.567-0.977,0.490,"(3, 1, 1, 1, 0)"
AIM-P006-040.png,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.973,0.493,"(3, 1, 1, 1, 0)"
AIM-P006-041.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.570,0.573-0.973,0.494,"(3, 1, 1, 1, 0)"
AIM-P006-042.jpg,4096,3277,3,0.028-0.171,0.211-0.839,0.871-0.969,0/0/0/0,si,0.166-0.565,0.565-0.973,0.493,"(3, 1, 1, 1, 0)"
AIM-P006-043.jpg,700,562,3,0.021-0.165,0.206-0.847,0.879-0.998,0/0/0/0,si,0.164-0.571,0.574-0.993,0.467,"(3, 1, 1, 1, 0)"
AIM-P006-044.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.170-0.567,0.570-0.979,0.491,"(3, 1, 1, 1, 0)"
AIM-P006-045.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.566,0.569-0.973,0.494,"(3, 1, 1, 1, 0)"
AIM-P006-046.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.567,0.570-0.973,0.494,"(3, 1, 1, 1, 0)"
AIM-P006-047.jpg,700,560,3,0.027-0.170,0.211-0.838,0.868-0.966,0/0/0/0,si,0.169-0.566,0.569-0.973,0.494,"(3, 1, 1, 1, 0)"
AIM-P006-048.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.977,0.490,"(3, 1, 1, 1, 0)"
AIM-P006-049.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.599,0.674-0.867,0.559,"(3, 1, 1, 1, 0)"
AIM-P006-050.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.977,0.490,"(3, 1, 1, 1, 0)"
AIM-P006-051.png,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.564,0.567-0.977,0.490,"(3, 1, 1, 1, 0)"
AIM-P006-052.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.973,0.493,"(3, 1, 1, 1, 0)"
AIM-P006-053.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.570,0.573-0.980,0.488,"(3, 1, 1, 1, 0)"
AIM-P006-054.png,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.563,0.566-0.971,0.494,"(3, 1, 1, 1, 0)"
